Date,Industry,Region,Channel,Orders,Revenue,ReturnRate
2025-01-02,Retail,North,Online,120,18450,0.03
2025-01-03,Retail,South,Partner,88,12900,0.02
2025-01-04,Wholesale,West,Online,140,22100,0.04
2025-01-05,Wholesale,East,Retail,64,9100,0.01
2025-01-06,Retail,North,Retail,78,11850,0.02
2025-01-07,Wholesale,South,Online,156,24500,0.05
2025-01-08,Tech,West,Partner,99,15450,0.03
2025-01-09,Tech,East,Online,135,21300,0.02
2025-01-10,Retail,North,Partner,110,17600,0.02
2025-01-11,Wholesale,South,Retail,72,9900,0.01
2025-01-12,Tech,West,Online,165,26850,0.04
2025-01-13,Tech,East,Partner,84,12400,0.03
2025-01-14,Retail,North,Online,142,23100,0.05
2025-01-15,Wholesale,South,Partner,96,14800,0.02
2025-01-16,Tech,West,Retail,70,10500,0.02
2025-01-17,Retail,East,Online,150,23900,0.03
